report_id,timestamp,neighborhood,issue_type,time_to_resolution,required_escalation,num_previous_reports,severity_score,is_weekend,weather_rain,response_team_rating,reporter_experience,issue_complexity,hour_of_day
RPT-1230,2024-03-16 05:42:28.210586,Tech District,vandalism,36.4,1,2,10.0,1,0,3.1,2.82,1000,5
RPT-1231,2023-05-16 16:34:30.504498,Tech District,pothole,48.6,0,2,6.3,0,0,4.5,4.78,477,16
RPT-1232,2024-06-01 01:07:55.226536,Riverside,noise,7.0,0,0,3.4,1,0,4.5,6.68,260,1
RPT-1233,2024-04-23 07:47:36.366954,Downtown,pothole,71.0,1,0,6.2,0,1,3.3,0.0,734,7
RPT-1234,2023-12-05 05:48:41.312332,Riverside,noise,8.2,0,0,2.7,0,0,5.0,6.42,210,5
RPT-1235,2023-08-14 08:50:42.338508,Downtown,lighting,11.5,0,1,5.1,0,0,5.0,1.15,419,8
RPT-1236,2023-11-20 01:15:43.123352,Old Town,noise,7.9,0,3,4.8,0,0,3.7,0.0,409,1
RPT-1237,2024-03-30 20:43:58.598151,Uptown,noise,9.1,0,4,2.5,1,1,4.8,1.07,201,20
RPT-1238,2024-04-16 00:51:44.295233,Tech District,lighting,17.2,1,13,3.4,0,0,3.4,2.63,450,0
RPT-1239,2023-07-06 01:12:40.224848,Riverside,vandalism,17.4,0,0,7.4,0,1,3.6,0.19,587,1
RPT-1240,2024-11-16 03:58:41.530904,Old Town,noise,1.0,0,1,5.1,1,0,4.0,1.5,423,3
RPT-1241,2023-03-15 00:21:08.795550,Downtown,vandalism,40.0,1,16,10.0,0,0,2.9,2.36,960,0
RPT-1242,2023-06-30 11:34:07.173159,Uptown,noise,10.7,1,3,6.0,0,0,2.9,0.0,589,11
RPT-1243,2024-04-03 00:27:54.909484,Downtown,lighting,7.2,0,3,4.3,0,0,4.3,6.22,388,0
RPT-1244,2023-11-08 20:21:11.740345,Riverside,pothole,47.2,0,2,4.7,0,0,5.0,2.02,401,20
RPT-1245,2024-08-11 20:15:18.187726,Downtown,lighting,17.5,1,3,7.3,1,0,4.1,3.76,815,20
RPT-1246,2024-02-23 13:00:30.277828,Riverside,pothole,72.2,1,1,6.9,0,0,2.1,1.71,885,13
RPT-1247,2023-01-24 14:03:52.642534,Tech District,vandalism,34.5,1,0,10.0,0,1,2.7,5.53,956,14
RPT-1248,2024-08-31 23:05:29.445255,Tech District,noise,7.9,0,3,4.6,1,0,5.0,1.66,437,23
RPT-1249,2023-05-03 01:51:53.639673,Old Town,lighting,11.2,0,4,2.2,0,1,5.0,6.17,214,1
RPT-1250,2023-10-19 20:58:37.703193,Uptown,noise,2.0,0,1,6.2,0,0,3.4,2.14,498,20
RPT-1251,2024-07-17 09:29:18.963706,Downtown,pothole,47.5,0,2,3.5,0,0,3.6,4.93,360,9
RPT-1252,2024-05-15 12:49:16.328313,Uptown,lighting,8.3,0,3,4.1,0,1,3.8,2.97,355,12
RPT-1253,2024-04-21 10:53:52.291484,Tech District,noise,5.0,0,1,3.9,1,0,3.9,2.48,391,10
RPT-1254,2024-10-22 21:43:47.283982,Downtown,lighting,13.7,0,0,4.6,0,0,4.1,3.46,379,21
RPT-1255,2024-09-14 08:54:24.516473,Tech District,lighting,20.7,1,4,4.6,1,0,2.6,0.61,575,8
RPT-1256,2024-05-08 15:26:16.249470,Downtown,noise,10.2,0,3,7.3,0,0,3.6,1.76,575,15
RPT-1257,2023-09-06 06:51:30.700822,Uptown,vandalism,34.6,1,3,8.4,0,0,3.7,7.15,826,6
RPT-1258,2024-05-28 14:45:57.400503,Uptown,noise,1.0,0,5,3.6,0,0,3.8,2.79,420,14
RPT-1259,2023-08-02 22:02:30.861914,Downtown,pothole,43.5,0,4,6.5,0,1,4.4,1.67,563,22
RPT-1260,2024-12-18 04:08:26.429853,Uptown,lighting,11.6,0,4,3.2,0,0,3.5,1.69,226,4
RPT-1261,2023-11-12 11:08:25.331505,Downtown,pothole,52.1,0,3,5.9,1,0,4.4,4.04,504,11
RPT-1262,2023-01-25 18:49:21.108178,Tech District,noise,6.7,0,1,4.1,0,0,4.0,5.27,357,18
RPT-1263,2023-09-08 10:14:41.193249,Downtown,noise,1.0,1,2,8.9,0,0,3.3,4.9,967,10
RPT-1264,2024-09-12 05:17:54.163180,Downtown,vandalism,22.8,0,2,6.9,0,0,5.0,4.03,588,5
RPT-1265,2023-06-01 15:57:04.423438,Riverside,lighting,13.5,0,1,6.2,0,0,4.8,5.38,531,15
RPT-1266,2023-06-29 08:18:41.508616,Uptown,pothole,73.1,1,0,10.0,0,1,2.8,2.95,917,8
RPT-1267,2024-04-10 05:18:51.396739,Tech District,noise,1.0,0,0,2.8,0,0,4.0,0.0,234,5
RPT-1268,2023-03-19 01:05:52.871501,Uptown,pothole,72.0,1,2,6.8,1,0,3.4,1.58,694,1
RPT-1269,2023-11-28 05:17:28.055706,Tech District,vandalism,33.7,1,3,9.6,0,0,4.0,0.0,961,5
RPT-1270,2024-03-05 15:16:15.178041,Riverside,lighting,12.2,0,3,5.0,0,1,4.2,5.01,509,15
RPT-1271,2023-06-11 07:54:01.402645,Uptown,lighting,8.1,0,1,3.3,1,0,4.8,4.69,291,7
RPT-1272,2023-09-14 16:51:15.458042,Old Town,noise,5.7,0,1,6.1,0,0,3.6,4.78,396,16
RPT-1273,2023-02-06 01:34:09.941836,Riverside,vandalism,23.9,0,0,7.2,0,0,4.3,1.36,632,1
RPT-1274,2024-01-11 03:52:39.460714,Old Town,noise,5.0,0,15,4.0,0,1,5.0,0.93,277,3
RPT-1275,2024-07-04 23:28:17.957607,Riverside,noise,8.4,0,0,2.0,0,0,3.5,2.05,203,23
RPT-1276,2024-05-20 06:33:49.904053,Riverside,noise,5.8,0,19,4.3,0,0,4.1,6.96,422,6
RPT-1277,2024-09-14 07:10:18.952267,Old Town,pothole,44.0,0,16,6.8,1,0,3.5,3.38,547,7
RPT-1278,2024-10-01 09:50:01.532902,Old Town,lighting,8.8,0,0,6.6,0,0,4.7,5.41,521,9
RPT-1279,2024-11-12 13:58:28.852886,Downtown,noise,3.6,0,3,3.2,0,0,3.2,1.98,248,13
RPT-1280,2024-10-25 10:22:32.749941,Old Town,vandalism,34.6,1,3,10.0,0,1,4.3,2.85,1000,10
RPT-1281,2024-02-21 03:43:23.586641,Old Town,lighting,14.8,1,2,8.9,0,1,4.1,5.15,843,3
RPT-1282,2023-08-08 02:08:30.938709,Uptown,noise,12.1,1,2,4.9,0,0,3.1,2.67,594,2
RPT-1283,2023-12-23 09:04:13.296864,Uptown,vandalism,21.0,0,2,5.7,1,0,3.3,2.56,324,9
RPT-1284,2024-05-30 18:30:24.615774,Tech District,vandalism,38.3,1,1,6.4,0,1,3.9,2.92,812,18
RPT-1285,2024-04-01 17:39:27.119482,Tech District,lighting,12.6,0,3,4.6,0,1,4.4,4.96,330,17
RPT-1286,2024-10-16 20:30:28.436741,Old Town,lighting,5.5,0,1,5.4,0,1,5.0,0.3,465,20
RPT-1287,2024-09-17 00:37:57.975311,Downtown,vandalism,38.0,1,2,9.8,0,0,2.2,2.65,1000,0
RPT-1288,2024-03-29 18:13:38.651645,Old Town,noise,7.6,1,1,6.3,0,0,2.5,1.77,685,18
RPT-1289,2024-04-24 08:58:31.185245,Downtown,lighting,11.0,0,3,5.7,0,0,5.0,6.16,405,8
RPT-1290,2023-01-12 17:02:44.716823,Riverside,noise,2.6,0,2,2.1,0,0,4.5,4.24,113,17
RPT-1291,2023-05-24 23:39:10.420467,Riverside,vandalism,23.5,0,2,10.0,0,0,4.2,2.62,782,23
RPT-1292,2023-11-24 15:47:49.760672,Downtown,noise,7.0,1,2,8.1,0,0,3.3,0.54,870,15
RPT-1293,2023-06-14 09:46:56.032980,Uptown,pothole,49.1,0,2,3.6,0,0,4.6,7.05,219,9
RPT-1294,2023-09-04 01:03:26.463498,Riverside,pothole,72.6,1,3,7.0,0,0,3.8,3.04,727,1
RPT-1295,2023-04-20 04:13:23.002694,Old Town,lighting,19.5,1,2,9.1,0,0,4.4,3.46,867,4
RPT-1296,2024-06-04 10:19:13.728699,Riverside,lighting,12.0,0,0,7.3,0,0,3.2,4.21,628,10
RPT-1297,2024-06-30 02:06:22.150885,Old Town,vandalism,22.6,0,1,7.3,1,0,4.1,7.2,571,2
RPT-1298,2023-12-31 10:44:41.819275,Riverside,lighting,10.9,0,3,4.0,1,0,3.7,5.64,390,10
RPT-1299,2024-09-27 02:34:34.527572,Uptown,vandalism,34.2,1,5,7.0,0,1,4.2,0.58,796,2
RPT-1300,2023-08-26 12:02:13.497769,Downtown,lighting,12.0,0,1,3.6,1,0,3.9,4.37,293,12
RPT-1301,2023-02-27 23:43:32.684884,Riverside,vandalism,25.8,0,2,6.8,0,0,5.0,4.56,529,23
RPT-1302,2023-10-13 06:51:10.467786,Riverside,noise,9.2,0,2,3.4,0,0,3.2,3.73,316,6
RPT-1303,2023-11-08 03:32:33.195471,Uptown,lighting,10.7,0,1,1.1,0,0,4.4,3.87,108,3
RPT-1304,2023-10-10 19:31:27.457676,Old Town,pothole,75.7,1,2,6.4,0,0,3.6,5.11,683,19
RPT-1305,2024-02-28 13:55:29.758357,Old Town,pothole,43.0,0,0,6.5,0,0,3.8,1.65,521,13
RPT-1306,2023-11-23 02:04:00.323109,Old Town,noise,1.7,0,1,2.4,0,0,4.7,0.7,225,2
RPT-1307,2023-05-27 17:51:35.955997,Old Town,vandalism,25.4,0,7,9.8,1,0,3.4,2.07,807,17
RPT-1308,2023-07-04 18:58:59.377494,Tech District,pothole,50.4,0,5,5.6,0,0,4.3,1.38,406,18
RPT-1309,2024-07-14 07:31:51.897674,Old Town,noise,6.6,0,3,5.0,1,1,3.0,5.1,350,7
RPT-1310,2024-04-15 15:01:47.424896,Riverside,noise,3.8,0,2,4.4,0,0,5.0,4.99,392,15
RPT-1311,2024-03-12 16:13:44.299348,Downtown,pothole,47.8,0,3,5.2,0,0,4.6,0.4,354,16
RPT-1312,2023-01-27 23:56:46.634888,Tech District,lighting,15.2,0,3,6.4,0,0,4.6,1.93,476,23
RPT-1313,2023-12-01 03:45:45.376783,Downtown,pothole,52.3,0,0,4.7,0,1,3.9,4.78,404,3
RPT-1314,2024-02-09 17:41:52.711475,Uptown,vandalism,37.5,1,0,10.0,0,1,5.0,3.08,988,17
RPT-1315,2023-10-14 06:04:31.176635,Old Town,vandalism,36.8,1,3,8.3,1,0,2.7,3.75,904,6
RPT-1316,2023-07-07 23:57:15.721605,Old Town,noise,3.1,0,4,5.2,0,0,3.9,3.29,327,23
RPT-1317,2024-05-05 12:13:48.913987,Uptown,vandalism,37.2,1,1,7.7,1,0,4.4,1.74,892,12
RPT-1318,2023-08-08 15:48:49.857940,Tech District,pothole,70.4,1,2,5.4,0,0,3.9,2.69,701,15
RPT-1319,2023-08-16 05:27:14.695603,Uptown,noise,8.4,0,1,6.3,0,0,3.8,2.41,477,5
RPT-1320,2023-12-03 07:10:16.261790,Downtown,lighting,16.5,1,1,4.5,1,0,2.4,3.15,635,7
RPT-1321,2024-12-26 23:24:13.597721,Downtown,noise,5.7,1,2,3.8,0,0,3.0,2.83,431,23
RPT-1322,2024-10-07 02:25:46.919439,Riverside,noise,2.2,0,3,2.5,0,0,3.8,2.46,283,2
RPT-1323,2024-01-14 23:21:43.593009,Tech District,lighting,16.0,0,2,6.8,1,0,5.0,0.0,590,23
RPT-1324,2024-05-19 13:25:57.891490,Old Town,pothole,50.0,0,2,4.7,1,1,4.6,3.68,395,13
RPT-1325,2023-07-09 20:41:46.790239,Uptown,lighting,8.0,0,3,2.7,1,0,4.6,4.14,212,20
RPT-1326,2024-06-11 18:48:33.051611,Tech District,pothole,51.4,0,1,5.5,0,0,4.2,2.65,451,18
RPT-1327,2023-10-19 20:43:15.362191,Downtown,lighting,10.9,0,16,7.5,0,1,3.8,3.03,595,20
RPT-1328,2024-02-18 11:50:16.122498,Riverside,vandalism,40.7,1,2,10.0,1,0,3.7,2.53,960,11
RPT-1329,2024-03-26 03:30:04.211078,Riverside,lighting,9.9,0,1,4.9,0,1,3.6,4.36,466,3
RPT-1330,2023-02-11 05:24:13.861519,Riverside,lighting,16.3,1,6,7.4,1,0,4.6,4.36,799,5
RPT-1331,2023-10-12 17:04:46.181878,Downtown,pothole,53.1,0,0,7.0,0,0,4.0,5.15,678,17
RPT-1332,2023-11-29 23:29:20.568989,Uptown,pothole,69.6,1,4,6.9,0,1,4.2,0.97,671,23
RPT-1333,2023-12-17 10:02:11.370164,Downtown,vandalism,29.9,1,2,9.2,1,0,4.2,2.23,933,10
RPT-1334,2023-06-07 08:11:03.011567,Tech District,lighting,12.1,0,0,2.1,0,0,4.8,2.97,180,8
RPT-1335,2024-07-06 23:16:17.275080,Tech District,noise,3.9,0,2,3.6,1,0,4.0,4.58,305,23
RPT-1336,2024-02-17 11:13:27.099501,Downtown,noise,6.7,0,0,5.5,1,0,3.4,0.77,444,11
RPT-1337,2024-03-31 12:36:02.565488,Downtown,pothole,43.0,0,2,6.7,1,0,4.6,4.1,523,12
RPT-1338,2023-06-04 23:27:51.089052,Uptown,noise,4.6,0,4,4.5,1,0,5.0,0.0,289,23
RPT-1339,2024-09-29 12:35:45.493348,Downtown,noise,5.0,0,6,4.7,1,0,3.5,4.11,330,12
RPT-1340,2024-11-02 13:43:00.801644,Downtown,noise,6.2,1,15,5.6,1,0,4.3,4.84,585,13
RPT-1341,2023-11-22 01:50:47.762113,Downtown,noise,7.7,1,0,5.6,0,1,3.8,1.44,633,1
RPT-1342,2023-05-06 23:35:14.061332,Downtown,noise,5.3,0,2,1.7,1,0,3.1,1.87,187,23
RPT-1343,2024-06-03 02:55:26.610790,Old Town,pothole,54.3,0,2,8.6,0,1,5.0,3.0,623,2
RPT-1344,2023-09-06 11:47:34.392089,Riverside,noise,8.0,0,2,3.6,0,0,3.5,3.51,243,11
RPT-1345,2024-09-14 16:25:29.828668,Uptown,pothole,46.8,0,2,5.8,1,0,4.3,0.0,476,16
RPT-1346,2023-06-12 03:01:53.913545,Riverside,lighting,11.9,0,3,3.9,0,1,5.0,3.26,330,3
RPT-1347,2023-10-16 05:32:59.147205,Riverside,lighting,13.0,0,2,3.0,0,1,4.0,1.4,236,5
RPT-1348,2024-06-22 20:18:50.322495,Tech District,vandalism,39.7,1,2,9.3,1,1,3.3,4.88,968,20
RPT-1349,2023-01-17 19:36:19.725638,Uptown,noise,5.1,0,0,3.1,0,0,4.4,5.4,223,19
RPT-1350,2023-12-20 05:09:15.748069,Downtown,lighting,6.4,0,1,5.9,0,0,3.7,2.63,441,5
RPT-1351,2024-05-08 00:37:27.901971,Riverside,noise,1.0,1,3,7.0,0,0,2.6,2.6,759,0
RPT-1352,2023-08-14 11:51:03.011332,Tech District,noise,6.8,0,1,5.0,0,1,4.6,5.91,435,11
RPT-1353,2023-12-10 19:19:08.456970,Uptown,vandalism,38.4,1,2,10.0,1,0,4.7,1.56,1000,19
RPT-1354,2023-03-16 17:00:39.548285,Uptown,lighting,12.5,0,6,4.8,0,0,3.4,3.8,474,17
RPT-1355,2024-08-28 04:41:39.467749,Riverside,pothole,47.3,0,1,4.4,0,0,3.6,2.26,281,4
RPT-1356,2023-12-14 17:01:48.963301,Tech District,pothole,48.0,0,1,7.4,0,0,3.5,6.04,617,17
RPT-1357,2024-10-16 00:03:00.537649,Uptown,pothole,75.1,1,3,8.3,0,0,3.9,0.65,819,0
RPT-1358,2024-06-20 19:12:34.333091,Uptown,noise,6.8,0,1,2.6,0,0,4.9,0.53,235,19
RPT-1359,2024-10-20 02:29:21.885327,Old Town,noise,6.9,0,2,2.6,1,0,5.0,2.08,204,2
RPT-1360,2024-12-06 15:36:08.289898,Uptown,pothole,71.0,1,1,8.7,0,0,2.5,5.33,929,15
RPT-1361,2024-06-23 22:58:06.906869,Riverside,vandalism,23.1,0,10,9.1,1,0,4.7,0.97,715,22
RPT-1362,2024-05-22 23:44:54.130693,Downtown,pothole,47.9,0,10,6.8,0,1,4.7,5.66,563,23
RPT-1363,2023-06-21 09:31:01.751994,Riverside,lighting,21.3,1,4,9.7,0,0,3.1,0.29,948,9
RPT-1364,2023-09-15 03:44:20.126719,Tech District,pothole,74.1,1,16,8.2,0,0,4.4,4.1,890,3
RPT-1365,2024-08-07 21:51:58.102525,Riverside,vandalism,40.8,1,0,10.0,0,0,3.1,0.88,1000,21
RPT-1366,2024-12-16 19:54:06.851326,Uptown,noise,13.4,1,2,6.0,0,0,3.8,0.96,619,19
RPT-1367,2024-02-03 21:38:06.976005,Old Town,vandalism,37.1,1,15,10.0,1,0,4.2,3.83,1000,21
RPT-1368,2023-09-26 16:24:20.398783,Uptown,vandalism,36.1,1,2,10.0,0,1,2.2,4.08,1000,16
RPT-1369,2024-10-02 14:30:36.364058,Downtown,noise,9.8,1,2,5.9,0,0,3.1,3.39,634,14
RPT-1370,2024-05-30 21:50:38.643993,Uptown,noise,1.6,0,3,4.9,0,0,4.9,1.74,404,21
RPT-1371,2023-05-31 13:25:16.828984,Downtown,vandalism,26.5,0,3,7.2,0,0,4.0,2.59,538,13
RPT-1372,2023-06-30 19:33:05.123289,Riverside,lighting,17.5,1,1,4.7,0,1,3.3,2.52,572,19
RPT-1373,2023-06-12 15:42:43.687193,Riverside,pothole,49.4,0,10,4.5,0,0,3.6,2.24,330,15
RPT-1374,2024-11-07 21:33:14.374036,Tech District,vandalism,40.1,1,0,8.3,0,0,4.0,1.89,843,21
RPT-1375,2023-08-22 15:34:55.578175,Tech District,pothole,45.2,0,1,6.0,0,0,3.5,4.15,390,15
RPT-1376,2023-11-25 02:00:05.978573,Downtown,lighting,10.9,0,10,5.5,1,0,3.1,4.56,397,2
RPT-1377,2024-01-26 00:18:40.286008,Old Town,pothole,47.9,0,11,5.8,0,0,3.7,6.48,447,0
RPT-1378,2024-08-20 21:00:40.354188,Tech District,lighting,17.5,0,3,6.2,0,0,4.0,4.69,493,21
RPT-1379,2024-02-22 08:03:05.109372,Tech District,noise,1.0,0,4,3.6,0,1,5.0,1.95,189,8
RPT-1380,2023-02-04 05:36:02.238621,Uptown,lighting,10.5,0,2,5.5,1,0,5.0,6.25,550,5
RPT-1381,2023-07-12 09:44:58.084187,Downtown,noise,4.5,0,1,6.2,0,1,3.3,3.43,441,9
RPT-1382,2023-12-13 21:33:39.393630,Uptown,noise,3.2,0,1,2.7,0,0,3.8,4.67,160,21
RPT-1383,2024-12-08 14:23:36.045049,Downtown,noise,5.7,0,2,4.2,1,0,3.5,3.8,359,14
RPT-1384,2023-02-02 01:34:00.275946,Tech District,noise,6.6,0,1,2.5,0,0,3.9,4.08,214,1
RPT-1385,2023-04-23 05:08:09.848145,Uptown,pothole,73.1,1,2,5.9,1,1,3.0,2.94,626,5
RPT-1386,2024-05-11 12:47:00.164607,Uptown,noise,2.2,0,2,3.0,1,0,5.0,2.59,237,12
RPT-1387,2024-02-24 08:54:46.964502,Old Town,noise,1.4,0,4,3.4,1,0,4.5,3.28,165,8
RPT-1388,2024-12-22 19:19:56.519431,Tech District,noise,7.3,0,2,4.3,1,0,4.2,1.98,403,19
RPT-1389,2024-08-17 23:31:12.457344,Old Town,lighting,11.3,0,1,2.7,1,1,4.0,3.5,171,23
RPT-1390,2024-03-05 06:30:28.843134,Old Town,pothole,45.6,0,2,5.2,0,0,3.8,3.72,379,6
RPT-1391,2023-02-07 15:49:24.926052,Old Town,pothole,50.3,0,4,9.3,0,1,4.3,1.59,683,15
RPT-1392,2024-01-06 21:53:31.528996,Tech District,lighting,13.5,0,2,5.3,1,0,4.9,2.09,379,21
RPT-1393,2023-06-10 08:44:55.411453,Riverside,noise,7.9,0,2,5.5,1,0,5.0,0.82,376,8
RPT-1394,2024-07-08 13:40:50.877185,Downtown,vandalism,23.7,0,1,6.8,0,1,3.8,0.69,489,13
RPT-1395,2023-05-13 09:00:28.045594,Old Town,noise,5.9,0,3,7.1,1,0,3.9,4.65,608,9
RPT-1396,2023-12-17 18:56:52.780435,Tech District,vandalism,38.6,1,2,10.0,1,0,2.7,6.49,1000,18
RPT-1397,2023-05-07 15:09:10.753478,Tech District,lighting,11.3,0,4,4.2,1,0,3.8,1.33,241,15
RPT-1398,2023-05-25 11:09:41.452619,Riverside,pothole,48.7,0,2,9.6,0,1,3.1,6.97,813,11
RPT-1399,2023-06-04 01:44:58.396812,Riverside,noise,5.3,0,4,6.9,1,0,4.8,2.57,594,1
RPT-1400,2023-07-15 05:01:35.149157,Old Town,vandalism,37.4,1,8,10.0,1,0,2.6,7.82,1000,5
RPT-1401,2024-08-15 18:59:06.743331,Riverside,pothole,49.8,0,0,6.6,0,0,5.0,0.0,557,18
RPT-1402,2023-08-06 16:16:13.157663,Riverside,pothole,47.8,0,1,6.7,1,0,4.3,2.4,459,16
RPT-1403,2023-01-27 09:13:45.321067,Downtown,noise,4.3,0,2,5.6,0,0,3.8,2.81,514,9
RPT-1404,2024-07-04 11:11:44.776558,Uptown,lighting,8.1,0,2,2.9,0,0,4.1,1.3,293,11
RPT-1405,2023-02-17 09:30:26.866230,Old Town,noise,7.3,1,1,6.7,0,0,3.9,1.42,624,9
RPT-1406,2023-12-06 07:13:47.066663,Downtown,pothole,49.2,0,0,5.7,0,0,4.4,3.9,430,7
RPT-1407,2024-10-05 12:52:31.969680,Old Town,pothole,48.1,0,2,7.2,1,1,4.2,6.45,600,12
RPT-1408,2023-01-24 18:55:11.550585,Tech District,lighting,11.6,0,0,3.9,0,0,4.7,3.31,282,18
RPT-1409,2023-07-08 12:31:49.607996,Downtown,pothole,48.7,0,2,6.6,1,0,4.5,0.0,596,12
RPT-1410,2024-02-29 08:50:40.046611,Riverside,noise,3.6,0,2,3.6,0,0,3.8,3.41,227,8
RPT-1411,2023-05-13 03:32:58.221628,Tech District,lighting,10.8,0,1,4.9,1,0,3.8,0.0,408,3
RPT-1412,2024-07-20 04:00:44.774299,Downtown,lighting,17.3,0,5,5.0,1,0,3.2,6.41,410,4
RPT-1413,2023-05-22 21:20:19.175731,Old Town,vandalism,40.9,1,4,10.0,0,1,4.5,2.54,1000,21
RPT-1414,2023-08-20 21:08:26.194886,Old Town,noise,7.2,0,2,3.7,1,0,2.6,3.29,205,21
RPT-1415,2024-12-03 10:33:06.687508,Uptown,pothole,50.3,0,0,8.3,0,0,3.6,5.62,605,10
RPT-1416,2024-09-02 06:54:36.636663,Uptown,pothole,76.0,1,2,7.3,0,0,4.8,5.14,747,6
RPT-1417,2024-03-19 13:13:49.805098,Old Town,vandalism,37.1,1,2,8.9,0,0,2.7,0.0,975,13
RPT-1418,2024-07-07 03:00:04.513339,Riverside,pothole,47.0,0,3,5.5,1,0,3.5,2.55,383,3
RPT-1419,2023-02-22 00:13:54.209710,Downtown,pothole,49.0,0,1,5.4,0,0,3.8,1.81,426,0
RPT-1420,2024-07-21 13:27:45.184852,Uptown,pothole,48.3,0,1,6.2,1,1,4.1,3.06,462,13
RPT-1421,2023-01-27 20:31:40.234489,Downtown,noise,8.0,0,0,1.4,0,0,5.0,3.08,134,20
RPT-1422,2024-11-13 11:31:57.506719,Tech District,lighting,14.9,0,2,3.5,0,0,3.7,3.14,340,11
RPT-1423,2024-06-07 13:57:29.767284,Uptown,noise,4.2,0,2,3.8,0,0,3.5,4.68,285,13
RPT-1424,2024-07-03 05:28:59.212990,Downtown,lighting,3.3,0,1,4.4,0,0,3.2,3.22,418,5
RPT-1425,2023-12-29 11:01:10.120704,Old Town,vandalism,24.9,0,1,7.3,0,1,3.6,0.69,496,11
RPT-1426,2023-04-17 06:31:39.358811,Uptown,vandalism,22.8,0,0,8.2,0,1,5.0,1.28,682,6
RPT-1427,2024-12-23 16:49:33.458320,Riverside,noise,1.6,0,3,3.3,0,1,3.1,4.52,206,16
RPT-1428,2023-06-15 16:56:54.330976,Riverside,vandalism,25.5,0,2,9.5,0,0,3.6,5.66,700,16
RPT-1429,2023-02-04 23:09:55.466835,Tech District,vandalism,26.7,0,0,8.9,1,0,5.0,5.11,723,23
RPT-1430,2024-11-27 05:36:32.773037,Uptown,noise,4.2,0,2,1.3,0,0,4.8,0.0,85,5
RPT-1431,2023-06-27 13:09:36.554943,Tech District,noise,6.3,0,5,2.6,0,0,3.7,1.45,249,13
RPT-1432,2023-12-15 20:29:40.010270,Downtown,lighting,14.7,0,2,5.7,0,0,5.0,4.83,369,20
RPT-1433,2024-12-17 18:08:53.121063,Tech District,lighting,23.5,1,14,5.4,0,0,4.1,5.74,666,18
RPT-1434,2024-07-19 03:34:29.770258,Old Town,vandalism,24.9,0,1,6.5,0,0,3.5,5.5,558,3
RPT-1435,2024-08-26 00:06:52.107922,Uptown,lighting,11.9,0,2,4.7,0,0,3.9,3.15,362,0
RPT-1436,2024-11-16 09:48:08.538780,Riverside,vandalism,28.3,0,1,4.7,1,1,4.4,3.15,457,9
RPT-1437,2024-07-17 15:30:38.565511,Tech District,noise,10.9,0,1,4.3,0,1,3.6,4.26,332,15
RPT-1438,2023-05-22 14:34:11.677477,Tech District,noise,1.8,0,2,3.6,0,0,4.7,3.6,319,14
RPT-1439,2023-04-26 00:01:20.029650,Old Town,noise,8.2,0,3,2.7,0,0,3.6,5.37,287,0
RPT-1440,2023-12-08 21:40:11.463657,Uptown,noise,4.3,0,3,4.1,0,1,3.5,2.24,339,21
RPT-1441,2023-04-26 04:11:58.018888,Downtown,pothole,73.9,1,0,10.0,0,0,3.0,2.24,1000,4
RPT-1442,2023-01-18 04:11:44.627141,Tech District,noise,1.1,0,0,2.9,0,0,5.0,3.27,235,4
RPT-1443,2023-10-22 20:54:42.761157,Uptown,lighting,13.7,0,1,1.8,1,1,4.9,0.0,219,20
RPT-1444,2023-09-22 15:08:02.589542,Old Town,lighting,11.0,0,1,4.7,0,0,5.0,0.0,439,15
RPT-1445,2024-03-19 13:55:22.494597,Uptown,pothole,73.0,1,16,10.0,0,1,2.7,0.69,1000,13
RPT-1446,2023-08-07 07:53:24.175452,Old Town,pothole,49.0,0,0,4.6,0,0,5.0,4.41,419,7
RPT-1447,2023-08-01 05:54:48.073869,Uptown,noise,10.0,1,4,9.1,0,0,2.7,2.28,948,5
RPT-1448,2023-09-28 08:48:13.331500,Tech District,lighting,17.8,1,2,5.5,0,1,4.4,7.56,672,8
RPT-1449,2023-05-26 09:15:51.701913,Riverside,pothole,44.2,0,16,9.0,0,0,4.2,1.32,666,9
RPT-1450,2024-08-23 07:25:45.521840,Uptown,lighting,14.5,0,3,5.4,0,0,3.8,7.33,461,7
RPT-1451,2023-02-03 15:30:12.986962,Uptown,lighting,15.2,1,3,6.4,0,1,3.4,4.53,762,15
RPT-1452,2024-12-15 10:19:42.437313,Downtown,vandalism,27.7,0,3,6.2,1,0,4.4,1.04,491,10
RPT-1453,2023-03-19 10:58:09.273242,Tech District,lighting,13.0,0,0,5.1,1,0,2.5,3.92,359,10
RPT-1454,2024-11-10 00:08:23.810400,Downtown,pothole,68.5,1,0,5.5,1,0,3.3,4.92,719,0
RPT-1455,2023-08-09 03:52:12.093024,Old Town,pothole,44.6,0,2,6.6,0,0,4.3,2.85,468,3
RPT-1456,2024-07-02 01:09:33.607395,Riverside,pothole,76.4,1,2,10.0,0,0,2.6,2.28,957,1
RPT-1457,2023-05-20 10:38:35.993901,Uptown,lighting,14.0,0,0,8.2,1,0,5.0,3.43,707,10
RPT-1458,2024-10-09 20:29:01.513935,Downtown,lighting,15.3,0,7,4.2,0,0,4.9,3.28,257,20
RPT-1459,2024-10-29 05:23:08.977347,Downtown,lighting,9.6,0,1,8.0,0,0,3.1,4.01,714,5
RPT-1460,2024-08-30 04:07:13.095272,Uptown,noise,11.8,0,16,3.4,0,0,4.6,1.37,266,4
RPT-1461,2024-02-18 14:21:39.181989,Riverside,lighting,10.5,0,4,4.0,1,1,3.9,6.98,278,14
