report_id,timestamp,neighborhood,issue_type,time_to_resolution,required_escalation,num_previous_reports,severity_score,is_weekend,weather_rain,response_team_rating,reporter_experience,issue_complexity,hour_of_day
RPT-1220,2023-01-15 00:12:04.308,Riverside,vandalism,35.0,1,2,9.4,1,0,3.3,0.67,915.0,
RPT-1221,2024-10-14 03:57:32.060,Old Town,vandalism,24.6,0,6,6.4,0,0,4.5,2.63,561.0,3.0
RPT-1222,2023-06-13 21:10:55.827,Downtown,lighting,15.6,0,2,8.9,0,0,3.6,4.19,725.0,21.0
RPT-1223,2024-06-09 22:45:51.442,Riverside,noise,5.9,0,2,6.0,1,0,4.1,0.0,449.0,22.0
RPT-1224,2024-03-26 04:01:01.918,Uptown,vandalism,39.9,1,1,10.0,0,0,4.2,4.09,988.0,4.0
RPT-1225,2023-12-22 17:23:57.350,Uptown,noise,3.9,0,1,6.4,0,0,3.9,5.43,588.0,17.0
RPT-1226,2024-08-19 22:38:57.421,Riverside,noise,8.0,0,3,3.4,0,0,3.3,5.38,248.0,22.0
RPT-1227,2024-03-23 02:24:23.725,Uptown,noise,5.6,0,2,3.2,1,1,4.8,5.75,306.0,2.0
RPT-1228,2024-09-02 16:29:45.715,Tech District,noise,1.0,0,1,4.2,0,0,5.0,0.37,372.0,16.0
RPT-1229,2024-10-09 12:21:10.627,Old Town,pothole,50.0,0,3,4.6,0,0,4.3,0.0,254.0,12.0
RPT-1230,2024-01-12 13:51:37.170,Tech District,vandalism,36.4,1,2,10.0,0,0,3.1,2.82,1000.0,13.0
RPT-1231,2024-01-11 22:53:38.216,Tech District,pothole,48.6,0,2,6.3,0,0,4.5,4.78,477.0,22.0
RPT-1232,2024-11-11 14:28:41.107,Riverside,,7.0,0,0,3.4,0,0,4.5,6.68,260.0,14.0
RPT-1233,2024-04-16 03:33:33.992,Downtown,pothole,71.0,1,0,6.2,0,1,3.3,0.0,734.0,3.0
RPT-1234,2024-10-08 14:15:32.535,Riverside,noise,8.2,0,0,2.7,0,0,5.0,6.42,210.0,14.0
RPT-1235,2024-02-21 08:12:59.384,Downtown,lighting,11.5,0,1,5.1,0,0,5.0,1.15,419.0,8.0
RPT-1236,2024-06-25 13:59:13.439,Old Town,noise,7.9,0,3,4.8,0,0,3.7,0.0,409.0,13.0
RPT-1237,2024-08-05 09:51:37.934,Uptown,noise,9.1,0,4,2.5,0,1,4.8,1.07,201.0,9.0
RPT-1238,2023-11-26 14:25:08.487,Tech District,lighting,17.2,1,13,3.4,1,0,3.4,2.63,450.0,14.0
RPT-1239,2023-12-02 23:03:22.376,Riverside,vandalism,17.4,0,0,7.4,1,1,3.6,0.19,587.0,23.0
RPT-1240,2024-07-20 11:13:32.455,Old Town,noise,1.0,0,1,5.1,1,0,4.0,1.5,423.0,11.0
RPT-1241,2023-05-18 14:05:02.464,Downtown,vandalism,40.0,1,16,10.0,0,0,2.9,2.36,960.0,14.0
RPT-1242,2024-03-08 11:15:18.482,Uptown,noise,10.7,1,3,6.0,0,0,2.9,0.0,589.0,11.0
RPT-1243,2024-08-14 04:21:13.355,Downtown,lighting,7.2,0,3,4.3,0,0,4.3,6.22,388.0,4.0
RPT-1244,2024-06-01 01:52:18.762,Riverside,pothole,47.2,0,2,4.7,1,0,5.0,2.02,401.0,1.0
RPT-1245,2024-06-06 07:47:44.017,Downtown,lighting,17.5,1,3,7.3,0,0,4.1,3.76,815.0,7.0
RPT-1246,2024-02-06 08:09:55.628,Riverside,pothole,72.2,1,1,6.9,0,0,2.1,1.71,885.0,8.0
RPT-1247,2024-09-22 13:30:57.967,Tech District,vandalism,34.5,1,0,10.0,1,1,2.7,5.53,956.0,13.0
RPT-1248,2023-07-25 00:06:24.208,Tech District,noise,7.9,0,3,4.6,0,0,5.0,1.66,437.0,0.0
RPT-1249,2023-01-16 12:15:53.857,Old Town,lighting,11.2,0,4,2.2,0,1,5.0,6.17,214.0,12.0
RPT-1250,2023-05-17 10:37:52.430,Uptown,noise,2.0,0,1,6.2,0,0,3.4,2.14,498.0,10.0
RPT-1251,2023-08-31 05:33:28.500,Downtown,pothole,47.5,0,2,3.5,0,0,3.6,4.93,360.0,5.0
RPT-1252,2024-09-11 06:23:01.768,Uptown,lighting,8.3,0,3,4.1,0,1,3.8,2.97,355.0,6.0
RPT-1253,2023-09-19 20:17:20.775,Tech District,noise,5.0,0,1,3.9,0,0,3.9,2.48,391.0,20.0
RPT-1254,2023-09-04 03:44:39.350,Downtown,lighting,13.7,0,0,4.6,0,0,4.1,3.46,379.0,3.0
RPT-1255,2024-01-07 15:38:57.353,Tech District,lighting,20.7,1,4,4.6,1,0,2.6,0.61,575.0,15.0
RPT-1256,2023-10-24 06:05:22.819,Downtown,noise,10.2,0,3,7.3,0,0,3.6,1.76,575.0,6.0
RPT-1257,2023-05-15 01:44:22.041,Uptown,vandalism,34.6,1,3,8.4,0,0,3.7,7.15,826.0,1.0
RPT-1258,2023-02-23 13:03:53.835,Uptown,noise,1.0,0,5,3.6,0,0,3.8,2.79,420.0,13.0
RPT-1259,2024-09-05 04:41:19.311,Downtown,pothole,43.5,0,4,6.5,0,1,4.4,1.67,563.0,4.0
RPT-1260,2023-11-06 14:38:59.011,Uptown,lighting,11.6,0,4,3.2,0,0,3.5,1.69,226.0,14.0
RPT-1261,2024-04-26 00:24:40.480,Downtown,pothole,52.1,0,3,5.9,0,0,4.4,4.04,504.0,0.0
RPT-1262,2023-05-17 16:19:35.635,Tech District,noise,6.7,0,1,4.1,0,0,4.0,5.27,357.0,16.0
RPT-1263,2023-10-29 08:11:39.200,Downtown,noise,1.0,1,2,8.9,1,0,3.3,4.9,967.0,8.0
RPT-1264,2024-12-22 14:52:43.561,Downtown,vandalism,22.8,0,2,6.9,1,0,5.0,4.03,588.0,14.0
RPT-1265,2023-06-09 20:47:49.270,Riverside,lighting,13.5,0,1,6.2,0,0,4.8,5.38,531.0,20.0
RPT-1266,2023-01-22 01:12:39.418,Uptown,pothole,73.1,1,0,10.0,1,1,2.8,2.95,917.0,1.0
RPT-1267,2024-12-08 14:23:00.930,Tech District,noise,1.0,0,0,2.8,1,0,4.0,0.0,234.0,14.0
RPT-1268,2024-01-16 09:15:08.844,Uptown,pothole,72.0,1,2,6.8,0,0,3.4,1.58,694.0,9.0
RPT-1269,2023-05-14 21:37:20.635,Tech District,vandalism,33.7,1,3,9.6,1,0,4.0,0.0,961.0,21.0
RPT-1270,2023-04-10 19:12:50.801,Riverside,lighting,12.2,0,3,5.0,0,1,4.2,5.01,509.0,19.0
RPT-1271,2024-02-16 11:35:00.917,Uptown,lighting,8.1,0,1,3.3,0,0,4.8,4.69,291.0,11.0
RPT-1272,2024-12-02 19:36:38.048,Old Town,noise,5.7,0,1,6.1,0,0,3.6,4.78,396.0,19.0
RPT-1273,2023-10-02 21:31:53.930,Riverside,vandalism,23.9,0,0,7.2,0,0,4.3,1.36,632.0,21.0
RPT-1274,2023-10-22 06:40:04.746,Old Town,noise,5.0,0,15,4.0,1,1,5.0,0.93,277.0,6.0
RPT-1275,2024-06-22 08:01:35.443,Riverside,noise,8.4,0,0,2.0,1,0,3.5,2.05,203.0,8.0
RPT-1276,2023-02-04 18:01:31.252,Riverside,noise,5.8,0,19,4.3,1,0,4.1,6.96,422.0,18.0
RPT-1277,2023-02-13 13:37:01.763,Old Town,pothole,44.0,0,16,6.8,0,0,3.5,3.38,547.0,13.0
RPT-1278,2024-10-28 16:31:17.993,Old Town,lighting,8.8,0,0,6.6,0,0,4.7,5.41,521.0,16.0
RPT-1279,2023-07-30 23:09:26.753,Downtown,noise,3.6,0,3,3.2,1,0,3.2,1.98,248.0,23.0
RPT-1280,2024-07-03 16:44:10.699,Old Town,vandalism,34.6,1,3,10.0,0,1,4.3,2.85,1000.0,16.0
RPT-1281,2024-07-18 23:44:05.682,Old Town,lighting,14.8,1,2,8.9,0,1,4.1,5.15,843.0,23.0
RPT-1282,2023-12-21 07:42:59.900,Uptown,noise,12.1,1,2,4.9,0,0,3.1,2.67,594.0,7.0
RPT-1283,2024-07-27 06:38:20.166,Uptown,vandalism,21.0,0,2,5.7,1,0,3.3,2.56,324.0,6.0
RPT-1284,2023-06-05 17:12:28.931,Tech District,vandalism,38.3,1,1,6.4,0,1,3.9,2.92,812.0,17.0
RPT-1285,2024-02-27 23:08:13.430,Tech District,lighting,12.6,0,3,4.6,0,1,4.4,4.96,330.0,23.0
RPT-1286,2024-06-15 22:53:14.417,Old Town,lighting,5.5,0,1,5.4,1,1,5.0,0.3,465.0,22.0
RPT-1287,2024-11-29 08:22:03.336,Downtown,vandalism,38.0,1,2,9.8,0,0,2.2,2.65,1000.0,8.0
RPT-1288,2023-01-03 08:28:11.520,Old Town,noise,7.6,1,1,6.3,0,0,2.5,1.77,685.0,8.0
RPT-1289,2024-03-10 12:14:30.191,Downtown,lighting,11.0,0,3,5.7,1,0,5.0,6.16,405.0,12.0
RPT-1290,2024-11-01 17:53:51.740,Riverside,noise,2.6,0,2,2.1,0,0,4.5,4.24,113.0,17.0
RPT-1291,2023-03-23 23:24:37.879,Riverside,vandalism,23.5,0,2,10.0,0,0,4.2,2.62,782.0,23.0
RPT-1292,2024-02-08 15:29:49.707,Downtown,noise,7.0,1,2,8.1,0,0,3.3,0.54,870.0,15.0
RPT-1293,2023-05-17 22:19:11.148,Uptown,pothole,49.1,0,2,3.6,0,0,4.6,7.05,219.0,22.0
RPT-1294,2024-02-27 18:15:33.769,Riverside,pothole,72.6,1,3,7.0,0,0,3.8,3.04,727.0,18.0
RPT-1295,2023-09-03 22:06:54.252,Old Town,lighting,19.5,1,2,9.1,1,0,4.4,3.46,867.0,22.0
RPT-1296,2023-04-25 14:28:49.009,Riverside,lighting,12.0,0,0,7.3,0,0,3.2,4.21,628.0,14.0
RPT-1297,2024-11-12 12:48:55.925,Old Town,vandalism,22.6,0,1,7.3,0,0,4.1,7.2,571.0,12.0
RPT-1298,2024-07-18 07:24:11.428,Riverside,lighting,10.9,0,3,4.0,0,0,3.7,5.64,390.0,7.0
RPT-1299,2023-05-15 13:30:21.059,Uptown,vandalism,34.2,1,5,7.0,0,1,4.2,0.58,796.0,13.0
RPT-1300,2024-08-15 07:55:25.106,Downtown,lighting,12.0,0,1,3.6,0,0,3.9,4.37,293.0,7.0
RPT-1301,2024-12-30 01:27:17.707,Riverside,vandalism,25.8,0,2,6.8,0,0,5.0,4.56,529.0,1.0
RPT-1302,2024-02-19 04:27:44.238,Riverside,noise,9.2,0,2,3.4,0,0,3.2,3.73,316.0,4.0
RPT-1303,2024-11-08 04:09:44.177,Uptown,lighting,10.7,0,1,1.1,0,0,4.4,3.87,108.0,4.0
RPT-1304,2024-03-20 16:30:44.094,Old Town,pothole,75.7,1,2,6.4,0,0,3.6,5.11,683.0,16.0
RPT-1305,2023-05-13 03:10:08.427,Old Town,pothole,43.0,0,0,6.5,1,0,3.8,1.65,521.0,3.0
RPT-1306,2023-05-19 15:48:39.764,Old Town,noise,1.7,0,1,2.4,0,0,4.7,0.7,225.0,15.0
RPT-1307,2023-03-03 12:05:30.453,Old Town,vandalism,25.4,0,7,9.8,0,0,3.4,2.07,807.0,12.0
RPT-1308,2024-11-08 06:59:50.147,Tech District,pothole,50.4,0,5,5.6,0,0,4.3,1.38,406.0,6.0
RPT-1309,2023-02-01 15:51:30.700,Old Town,noise,6.6,0,3,5.0,0,1,3.0,5.1,350.0,15.0
RPT-1310,2023-03-25 08:50:17.367,Riverside,noise,3.8,0,2,4.4,1,0,5.0,4.99,392.0,8.0
RPT-1311,2024-05-28 12:09:54.849,Downtown,pothole,47.8,0,3,5.2,0,0,4.6,0.4,354.0,12.0
RPT-1312,2023-05-06 21:29:09.965,Tech District,lighting,15.2,0,3,6.4,1,0,4.6,1.93,476.0,21.0
RPT-1313,2024-11-03 20:57:16.513,Downtown,pothole,52.3,0,0,4.7,1,1,3.9,4.78,404.0,20.0
RPT-1314,2023-06-25 00:44:00.970,Uptown,vandalism,37.5,1,0,10.0,1,1,5.0,3.08,988.0,0.0
RPT-1315,2024-02-15 22:15:38.320,Old Town,vandalism,36.8,1,3,8.3,0,0,2.7,3.75,904.0,22.0
RPT-1316,2023-06-01 06:10:20.059,Old Town,noise,3.1,0,4,5.2,0,0,3.9,3.29,327.0,6.0
RPT-1317,2024-05-03 18:17:05.372,Uptown,vandalism,37.2,1,1,7.7,0,0,4.4,1.74,892.0,18.0
RPT-1318,2024-03-20 07:58:02.563,Tech District,pothole,70.4,1,2,5.4,0,0,3.9,2.69,701.0,7.0
RPT-1319,2024-04-14 13:20:33.565,Uptown,noise,8.4,0,1,6.3,1,0,3.8,2.41,477.0,13.0
RPT-1320,2023-05-27 02:36:34.924,Downtown,lighting,16.5,1,1,4.5,1,0,2.4,3.15,635.0,2.0
RPT-1321,2024-01-07 11:30:26.067,Downtown,noise,5.7,1,2,3.8,1,0,3.0,2.83,431.0,11.0
RPT-1322,2024-02-09 08:56:13.430,Riverside,noise,2.2,0,3,2.5,0,0,3.8,2.46,283.0,8.0
RPT-1323,2024-11-16 06:00:16.205,Tech District,lighting,16.0,0,2,6.8,1,0,5.0,0.0,590.0,6.0
RPT-1324,2024-05-05 08:36:59.066,Old Town,pothole,50.0,0,2,4.7,1,1,4.6,3.68,395.0,8.0
RPT-1325,2024-11-24 02:14:43.410,Uptown,lighting,8.0,0,3,2.7,1,0,4.6,4.14,212.0,2.0
RPT-1326,2024-08-26 12:11:47.504,Tech District,pothole,51.4,0,1,5.5,0,0,4.2,2.65,451.0,12.0
RPT-1327,2023-07-08 09:17:03.922,Downtown,lighting,10.9,0,16,7.5,1,1,3.8,3.03,595.0,9.0
RPT-1328,2023-11-25 02:48:17.207,Riverside,vandalism,40.7,1,2,10.0,1,0,3.7,2.53,960.0,2.0
RPT-1329,2023-08-11 20:30:04.108,Riverside,lighting,9.9,0,1,4.9,0,1,3.6,4.36,466.0,20.0
RPT-1330,2023-11-20 07:26:27.267,Riverside,lighting,16.3,1,6,7.4,0,0,4.6,4.36,799.0,7.0
RPT-1331,2023-02-28 12:12:11.115,Downtown,pothole,53.1,0,0,7.0,0,0,4.0,5.15,678.0,12.0
RPT-1332,2024-03-17 18:20:24.272,Uptown,pothole,69.6,1,4,6.9,1,1,4.2,0.97,671.0,18.0
RPT-1333,2023-12-09 13:10:13.925,Downtown,vandalism,29.9,1,2,9.2,1,0,4.2,2.23,933.0,13.0
RPT-1334,2024-04-27 17:52:01.834,Tech District,lighting,12.1,0,0,2.1,1,0,4.8,2.97,180.0,17.0
RPT-1335,2023-02-05 22:07:35.740,Tech District,noise,3.9,0,2,3.6,1,0,4.0,4.58,305.0,22.0
RPT-1336,2024-03-03 05:42:37.522,Downtown,noise,6.7,0,0,5.5,1,0,3.4,0.77,444.0,5.0
RPT-1337,2024-11-24 06:44:58.985,Downtown,pothole,43.0,0,2,6.7,1,0,4.6,4.1,523.0,6.0
RPT-1338,2023-10-14 11:11:58.887,Uptown,noise,4.6,0,4,4.5,1,0,5.0,0.0,289.0,11.0
RPT-1339,2023-05-08 22:09:37.656,Downtown,noise,5.0,0,6,4.7,0,0,3.5,4.11,330.0,22.0
RPT-1340,2023-07-21 02:26:57.710,Downtown,noise,6.2,1,15,5.6,0,0,4.3,4.84,585.0,2.0
RPT-1341,2023-12-27 01:42:06.850,Downtown,noise,7.7,1,0,5.6,0,1,3.8,1.44,633.0,1.0
RPT-1342,2023-05-18 13:28:38.201,Downtown,noise,5.3,0,2,1.7,0,0,3.1,1.87,187.0,13.0
RPT-1343,2023-12-22 14:25:18.216,Old Town,pothole,54.3,0,2,8.6,0,1,5.0,3.0,623.0,14.0
RPT-1344,2024-06-12 16:53:49.212,Riverside,noise,8.0,0,2,3.6,0,0,3.5,3.51,243.0,16.0
RPT-1345,2023-10-21 07:13:02.942,Uptown,pothole,46.8,0,2,5.8,1,0,4.3,0.0,476.0,7.0
RPT-1346,2024-03-12 09:48:24.848,Riverside,lighting,11.9,0,3,3.9,0,1,5.0,3.26,330.0,9.0
RPT-1347,2024-04-24 23:54:30.135,Riverside,lighting,13.0,0,2,3.0,0,1,4.0,1.4,236.0,23.0
RPT-1348,2024-02-28 23:30:22.341,Tech District,vandalism,39.7,1,2,9.3,0,1,3.3,4.88,968.0,23.0
RPT-1349,2023-10-12 04:40:09.444,Uptown,noise,5.1,0,0,3.1,0,0,4.4,5.4,223.0,4.0
RPT-1350,2023-08-25 07:14:54.222,Downtown,lighting,6.4,0,1,5.9,0,0,3.7,2.63,441.0,7.0
RPT-1351,2023-10-10 02:17:10.275,Riverside,noise,1.0,1,3,7.0,0,0,2.6,2.6,759.0,2.0
RPT-1352,2023-05-21 10:30:03.370,Tech District,noise,6.8,0,1,5.0,1,1,4.6,5.91,435.0,10.0
RPT-1353,2024-06-29 18:56:21.132,Uptown,vandalism,38.4,1,2,10.0,1,0,4.7,1.56,1000.0,18.0
RPT-1354,2024-08-23 20:44:36.601,Uptown,lighting,12.5,0,6,4.8,0,0,3.4,3.8,474.0,20.0
RPT-1355,2023-06-03 13:07:54.751,Riverside,pothole,47.3,0,1,4.4,1,0,3.6,2.26,281.0,13.0
RPT-1356,2023-03-25 12:04:37.583,Tech District,pothole,48.0,0,1,7.4,1,0,3.5,6.04,617.0,12.0
RPT-1357,2024-01-19 07:30:56.818,Uptown,pothole,75.1,1,3,8.3,0,0,3.9,0.65,819.0,7.0
RPT-1358,2023-05-05 15:57:48.636,Uptown,noise,6.8,0,1,2.6,0,0,4.9,0.53,235.0,15.0
RPT-1359,2024-04-02 02:47:03.795,Old Town,noise,6.9,0,2,2.6,0,0,5.0,2.08,204.0,2.0
RPT-1360,2024-11-08 09:09:46.557,Uptown,pothole,71.0,1,1,8.7,0,0,2.5,5.33,929.0,9.0
RPT-1361,2024-07-16 00:43:46.545,Riverside,vandalism,23.1,0,10,9.1,0,0,4.7,0.97,715.0,0.0
RPT-1362,2023-07-23 09:09:32.168,Downtown,pothole,47.9,0,10,6.8,1,1,4.7,5.66,563.0,9.0
RPT-1363,2023-04-01 15:05:45.192,Riverside,lighting,21.3,1,4,9.7,1,0,3.1,0.29,948.0,15.0
RPT-1364,2024-02-10 23:49:24.761,Tech District,pothole,74.1,1,16,8.2,1,0,4.4,4.1,890.0,23.0
RPT-1365,2023-05-08 17:17:06.027,Riverside,vandalism,40.8,1,0,10.0,0,0,3.1,0.88,1000.0,17.0
RPT-1366,2023-10-06 20:46:36.328,Uptown,noise,13.4,1,2,6.0,0,0,3.8,0.96,619.0,20.0
RPT-1367,2023-02-27 09:13:07.236,Old Town,vandalism,37.1,1,15,10.0,0,0,4.2,3.83,1000.0,9.0
RPT-1368,2024-06-28 02:42:12.107,Uptown,vandalism,36.1,1,2,10.0,0,1,2.2,4.08,1000.0,2.0
RPT-1369,2024-10-07 23:28:06.432,Downtown,noise,9.8,1,2,5.9,0,0,3.1,3.39,634.0,23.0
RPT-1370,2023-03-26 15:33:41.723,Uptown,noise,1.6,0,3,4.9,1,0,4.9,1.74,404.0,15.0
RPT-1371,2023-02-11 20:45:52.786,Downtown,vandalism,26.5,0,3,7.2,1,0,4.0,2.59,538.0,20.0
RPT-1372,2023-03-23 19:02:51.903,Riverside,lighting,17.5,1,1,4.7,0,1,3.3,2.52,572.0,19.0
RPT-1373,2024-12-27 21:12:50.165,Riverside,pothole,49.4,0,10,4.5,0,0,3.6,2.24,330.0,21.0
RPT-1374,2023-02-09 07:38:28.127,Tech District,vandalism,40.1,1,0,8.3,0,0,4.0,1.89,843.0,7.0
RPT-1375,2023-08-19 06:45:59.498,Tech District,pothole,45.2,0,1,6.0,1,0,3.5,4.15,390.0,6.0
RPT-1376,2024-02-16 04:26:23.806,Downtown,lighting,10.9,0,10,5.5,0,0,3.1,4.56,397.0,4.0
RPT-1377,2024-05-27 15:47:32.468,Old Town,pothole,47.9,0,11,5.8,0,0,3.7,6.48,447.0,15.0
RPT-1378,2024-04-13 15:07:30.895,Tech District,lighting,17.5,0,3,6.2,1,0,4.0,4.69,493.0,15.0
RPT-1379,2023-07-21 12:54:18.166,Tech District,noise,1.0,0,4,3.6,0,1,5.0,1.95,189.0,12.0
RPT-1380,2024-03-24 21:05:14.751,Uptown,lighting,10.5,0,2,5.5,1,0,5.0,6.25,550.0,21.0
RPT-1381,2024-04-26 04:04:03.563,Downtown,noise,4.5,0,1,6.2,0,1,3.3,3.43,441.0,4.0
RPT-1382,2024-05-02 14:39:51.261,Uptown,noise,3.2,0,1,2.7,0,0,3.8,4.67,160.0,14.0
RPT-1383,2023-09-30 01:07:47.761,Downtown,noise,5.7,0,2,4.2,1,0,3.5,3.8,359.0,1.0
RPT-1384,2023-03-17 13:56:26.030,Tech District,noise,6.6,0,1,2.5,0,0,3.9,4.08,214.0,13.0
RPT-1385,2024-09-09 08:56:26.553,Uptown,pothole,73.1,1,2,5.9,0,1,3.0,2.94,626.0,8.0
RPT-1386,2024-12-03 00:54:31.781,Uptown,noise,2.2,0,2,3.0,0,0,5.0,2.59,237.0,0.0
RPT-1387,2023-07-25 06:29:45.778,Old Town,noise,1.4,0,4,3.4,0,0,4.5,3.28,165.0,6.0
RPT-1388,2023-08-18 12:10:33.968,Tech District,noise,7.3,0,2,4.3,0,0,4.2,1.98,403.0,12.0
RPT-1389,2023-03-17 05:31:31.505,Old Town,lighting,11.3,0,1,2.7,0,1,4.0,3.5,171.0,5.0
RPT-1390,2024-03-11 00:05:15.087,Old Town,pothole,45.6,0,2,5.2,0,0,3.8,3.72,379.0,0.0
RPT-1391,2023-01-31 23:30:09.920,Old Town,pothole,50.3,0,4,9.3,0,1,4.3,1.59,683.0,23.0
RPT-1392,2023-07-21 02:00:36.365,Tech District,lighting,13.5,0,2,5.3,0,0,4.9,2.09,379.0,2.0
RPT-1393,2024-02-01 19:15:10.723,Riverside,noise,7.9,0,2,5.5,0,0,5.0,0.82,376.0,19.0
RPT-1394,2024-04-04 17:56:07.746,Downtown,vandalism,23.7,0,1,6.8,0,1,3.8,0.69,489.0,17.0
RPT-1395,2024-11-15 18:53:59.370,Old Town,noise,5.9,0,3,7.1,0,0,3.9,4.65,608.0,18.0
RPT-1396,2024-03-07 14:52:36.160,Tech District,vandalism,38.6,1,2,10.0,0,0,2.7,6.49,1000.0,14.0
RPT-1397,2023-12-15 06:26:10.062,Tech District,lighting,11.3,0,4,4.2,0,0,3.8,1.33,241.0,6.0
RPT-1398,2024-03-14 11:15:05.173,Riverside,pothole,48.7,0,2,9.6,0,1,3.1,6.97,813.0,11.0
RPT-1399,2024-11-22 12:26:11.412,Riverside,noise,5.3,0,4,6.9,0,0,4.8,2.57,594.0,12.0
RPT-1400,2024-05-14 00:19:28.888,Old Town,vandalism,37.4,1,8,10.0,0,0,2.6,7.82,1000.0,0.0
RPT-1401,2023-06-07 02:07:15.558,Riverside,pothole,49.8,0,0,6.6,0,0,5.0,0.0,557.0,2.0
RPT-1402,2024-05-24 06:14:34.781,Riverside,pothole,47.8,0,1,6.7,0,0,4.3,2.4,459.0,6.0
RPT-1403,2024-08-21 12:00:06.843,Downtown,noise,4.3,0,2,5.6,0,0,3.8,2.81,514.0,12.0
RPT-1404,2023-04-21 21:29:06.357,Uptown,lighting,8.1,0,2,2.9,0,0,4.1,1.3,293.0,21.0
RPT-1405,2024-08-22 04:12:40.001,Old Town,noise,7.3,1,1,6.7,0,0,3.9,1.42,624.0,4.0
RPT-1406,2023-01-11 22:26:41.576,Downtown,pothole,49.2,0,0,5.7,0,0,4.4,3.9,430.0,22.0
RPT-1407,2023-08-06 23:11:15.428,Old Town,pothole,48.1,0,2,7.2,1,1,4.2,6.45,600.0,23.0
RPT-1408,2023-10-11 07:12:01.451,Tech District,lighting,11.6,0,0,3.9,0,0,4.7,3.31,282.0,7.0
RPT-1409,2023-02-20 14:29:17.419,Downtown,pothole,48.7,0,2,6.6,0,0,4.5,0.0,596.0,14.0
RPT-1410,2023-06-22 10:17:04.512,Riverside,noise,3.6,0,2,3.6,0,0,3.8,3.41,227.0,10.0
RPT-1411,2024-07-18 08:49:00.341,Tech District,lighting,10.8,0,1,4.9,0,0,3.8,0.0,408.0,8.0
RPT-1412,2024-07-27 09:34:15.314,Downtown,lighting,17.3,0,5,5.0,1,0,3.2,6.41,410.0,9.0
RPT-1413,2023-08-14 10:36:01.174,Old Town,vandalism,40.9,1,4,10.0,0,1,4.5,2.54,1000.0,10.0
RPT-1414,2023-05-24 07:51:28.877,Old Town,noise,7.2,0,2,3.7,0,0,2.6,3.29,205.0,7.0
RPT-1415,2024-07-13 03:36:19.236,Uptown,pothole,50.3,0,0,8.3,1,0,3.6,5.62,605.0,3.0
RPT-1416,2024-11-05 00:33:44.973,Uptown,pothole,76.0,1,2,7.3,0,0,4.8,5.14,747.0,0.0
RPT-1417,2024-05-10 04:39:32.251,Old Town,vandalism,37.1,1,2,8.9,0,0,2.7,0.0,975.0,4.0
RPT-1418,2023-02-05 11:28:38.170,Riverside,pothole,47.0,0,3,5.5,1,0,3.5,2.55,383.0,11.0
RPT-1419,2024-02-20 11:49:54.963,Downtown,pothole,49.0,0,1,5.4,0,0,3.8,1.81,426.0,11.0
RPT-1420,2023-07-04 03:28:37.229,Uptown,pothole,48.3,0,1,6.2,0,1,4.1,3.06,462.0,3.0
RPT-1421,2024-12-23 12:19:13.302,Downtown,noise,8.0,0,0,1.4,0,0,5.0,3.08,134.0,12.0
RPT-1422,2023-10-20 01:48:28.480,Tech District,lighting,14.9,0,2,3.5,0,0,3.7,3.14,340.0,1.0
RPT-1423,2024-04-01 05:31:33.554,Uptown,noise,4.2,0,2,3.8,0,0,3.5,4.68,285.0,5.0
RPT-1424,2023-12-16 09:48:03.801,Downtown,lighting,3.3,0,1,4.4,1,0,3.2,3.22,418.0,9.0
RPT-1425,2024-03-31 10:14:02.470,Old Town,vandalism,24.9,0,1,7.3,1,1,3.6,0.69,496.0,10.0
RPT-1426,2023-06-14 18:19:36.139,Uptown,vandalism,22.8,0,0,8.2,0,1,5.0,1.28,682.0,18.0
RPT-1427,2023-09-26 14:34:43.476,Riverside,noise,1.6,0,3,3.3,0,1,3.1,4.52,206.0,14.0
RPT-1428,2023-07-22 22:58:47.801,Riverside,vandalism,25.5,0,2,9.5,1,0,3.6,5.66,700.0,22.0
RPT-1429,2024-07-19 02:49:09.399,Tech District,vandalism,26.7,0,0,8.9,0,0,5.0,5.11,723.0,2.0
RPT-1430,2024-07-28 09:30:38.336,Uptown,noise,4.2,0,2,1.3,1,0,4.8,0.0,85.0,9.0
RPT-1431,2023-01-01 08:40:51.535,Tech District,noise,6.3,0,5,2.6,1,0,3.7,1.45,249.0,8.0
RPT-1432,2023-06-28 08:10:36.148,Downtown,lighting,14.7,0,2,5.7,0,0,5.0,4.83,369.0,8.0
RPT-1433,2024-03-12 11:36:39.896,Tech District,lighting,23.5,1,14,5.4,0,0,4.1,5.74,666.0,11.0
RPT-1434,2023-01-22 13:44:32.242,Old Town,vandalism,24.9,0,1,6.5,1,0,3.5,5.5,558.0,13.0
RPT-1435,2024-09-25 03:18:41.263,Uptown,lighting,11.9,0,2,4.7,0,0,3.9,3.15,362.0,3.0
RPT-1436,2024-11-24 12:15:40.860,Riverside,vandalism,28.3,0,1,4.7,1,1,4.4,3.15,457.0,12.0
RPT-1437,2024-04-18 10:12:33.100,Tech District,noise,10.9,0,1,4.3,0,1,3.6,4.26,332.0,10.0
RPT-1438,2024-06-15 21:48:15.664,Tech District,noise,1.8,0,2,3.6,1,0,4.7,3.6,319.0,21.0
RPT-1439,2024-08-14 13:33:27.327,Old Town,noise,8.2,0,3,2.7,0,0,3.6,5.37,287.0,13.0
RPT-1440,2024-01-30 16:26:07.060,Uptown,noise,4.3,0,3,4.1,0,1,3.5,2.24,339.0,16.0
